brand,time,context,detection_type,matched_variant
Majestic RP,749.32,Ну в рамках правил маджестика ему Нельзя...,подлежащие_нормализации,маджестик
Majestic RP,753.079,Донат он слишком сильно любит мажестик...,подлежащие_нормализации,мажестик
Majestic RP,1017.319,как помо гне на маджестике пацаны...,подлежащие_нормализации,маджестик
ТНТ,1267.6,видюхи на 1000 ТНТ ТН взрывать базар руб...,прямое_совпадение,
Republic,920.88,"Republ, который находится, если пешком,...",подлежащие_нормализации,republ
Кардио М,1945.519,изменения. Кардио М - это специально...,прямое_совпадение,
PREMIER,4914.199,"раз премьер Большого театра, я уже был...",подлежащие_нормализации,премьер 
Индилайт,59.199,Шашлыки с индейкой Индилай. Нежный...,подлежащие_нормализации,индилай
Индилайт,68.6,всей компании. Инлай горячий гриль...,подлежащие_нормализации,инлай
Кавёр,1103.52,"один раз, когда нас вызвали на ковёр и...",подлежащие_нормализации, ковёр 
Сбер,1166.72,Нейросети Гигачат от Сбера идеально...,подлежащие_нормализации,сбера
Суточно.ру,2032.039,"свой маршрут, а суточна.руru найдёт, где...",подлежащие_нормализации,суточна.ру
Алиса,3671.0,"Алисой Френдлих, аа, но мне не могло в...",подлежащие_нормализации, алисой 
Кавёр,73.52,"намочился просто на ковре, блин, а потом...",подлежащие_нормализации,ковре
Индилайт,109.399,Фарш из индейки. Индилай. Лёгкая и...,подлежащие_нормализации,индилай
Индилайт,118.439,удовольствием. Инлай в пользу счастья....,подлежащие_нормализации,инлай
Т-Банк,687.079,"от Т-банка, и мне очень нравится их...",подлежащие_нормализации,т-банк
Т-Банк,751.44,Т-банка по ссылке в...,подлежащие_нормализации,т-банк
Erborian,1883.799,корейско-французского бренда Бариан -...,подлежащие_нормализации,бариан
Erborian,1946.32,Приобрести продукты Риан можно в...,подлежащие_нормализации, риан 
Кавёр,3339.72,"описался, намочился просто на ковре,...",подлежащие_нормализации,ковре
Телеграм,5154.36,в каком-то посте в Телеграме он очень...,подлежащие_нормализации,телеграм
ВКонтакте,6608.88,подарили нам ВК. Мы же с ВК сделали...,подлежащие_нормализации, вк 
Т-Банк,344.96,пользуюсь сервисом Премиум от Т банка у...,подлежащие_нормализации, т банка 
Pinskiy&Co,354.759,выбрать ресторан из сети Пинский ику то...,подлежащие_нормализации,пинский ику
Т-Банк,357.24,при оплате премиальной карты Т банка вы...,подлежащие_нормализации, т банка 
Т-Банк,372.36,приложение Т банка пишите сообщение в...,подлежащие_нормализации, т банка 
Яндекс,438.199,Яндекс вас наградили двумя премиями и...,прямое_совпадение,
Яндекс,504.0,развитие новой музыки Яндекс открыли и...,прямое_совпадение,
ВКонтакте,510.4,в ВК там залетай в тренды Вот это...,подлежащие_нормализации, вк 
Яндекс,637.44,только на Яндекс музыки то есть я говорю...,прямое_совпадение,
Яндекс,683.88,Music и ВК и в Яндекс музыке везде Мы в...,прямое_совпадение,
ВКонтакте,683.88,Music и ВК и в Яндекс музыке везде Мы в...,подлежащие_нормализации, вк 
ВКонтакте,691.0,музыки и ВК музыки Ну просто они не так...,подлежащие_нормализации, вк 
Телеграм,800.399,больно быть Вот у меня в телеграме я там...,подлежащие_нормализации,телеграм
Островок!,1023.279,через Островок это надёжный сервис там...,подлежащие_нормализации,островок
Авто.ру,1335.84,машине связавшись с продавцом автору...,подлежащие_нормализации, автору
Периодика,1721.679,фотокниг периодика не очень нравится...,прямое_совпадение,
Периодика,1724.799,этот минималистичный дизайн периодики...,подлежащие_нормализации,периодики
Периодика,1742.399,периодике есть удобная услуга соберём...,подлежащие_нормализации,периодике
Периодика,1780.159,периодики а при заказе Не забывайте...,подлежащие_нормализации,периодики
Яндекс,1981.48,Яндекс музыки на секундочку Да свёл т...,прямое_совпадение,
Яндекс,1983.24,года по версии Яндекс музыки Ну...,прямое_совпадение,
Яндекс,4819.6,вот Яндекс музыка пожалуйста вот твои...,прямое_совпадение,
Яндекс,5668.8,Яндекс Музыка это подтверждение того что...,прямое_совпадение,
ВКонтакте,6001.239,ещё не пришёл но на ВК стади Обещал...,подлежащие_нормализации, вк 
ВКонтакте,6459.0,ВКонтакте добрался друзья и потом вот а...,прямое_совпадение,
Яндекс,6641.32,строчки или там в Яндексе забил это мы...,подлежащие_нормализации,яндексе
Магнит,434.12,катушечных магнитофонов. Это было всегда...,подлежащие_нормализации, магнит
Т-Банк,1165.2,"Друзья, Т-Банк стал ещё удобнее. Теперь...",прямое_совпадение,
Т-Банк,1197.559,Обновляйте приложение Т-банка и...,подлежащие_нормализации,т-банк
Rox,1747.039,Фарина. Как и вот эта красота Rox 01. Он...,прямое_совпадение,
Rox,1764.2,Rox 01 - это автомобиль нового...,прямое_совпадение,
Индилайт,76.439,индейки. Индилай в пользу счастья....,подлежащие_нормализации,индилай
Ozon,75.0,На распродаже Озон столько подарков....,подлежащие_нормализации, озон 
Foreo,378.759,изнутри. У масок Foreo восемь режимов...,прямое_совпадение,
Foreo,439.039,Сейчас у Foreo приятные скидки на все...,прямое_совпадение,
Индилайт,109.439,передавливает из индейки индилайт лёгкая...,прямое_совпадение,
ВКонтакте,323.28,ещё ВКонтакте когда ВКонтакте...,прямое_совпадение,
Yves Rocher,438.96,ивроше есть шикарная гамма продуктов...,подлежащие_нормализации,ивроше
Yves Rocher,450.0,коллаген от французской марки I roch Где...,подлежащие_нормализации, roch 
Yves Rocher,497.56,уход сейчас кстати в ивроше проходит...,подлежащие_нормализации,ивроше
Yves Rocher,514.599,бутиках и в Роше или на официальном...,подлежащие_нормализации,и в роше
ТНТ,597.64,по-моему канал ТНТ Да и собственно с...,прямое_совпадение,
ТНТ,681.16,ТНТ Ну абсолютно какого-то понимания в...,прямое_совпадение,
Foreo,913.32,лицом LED маску fiq 202 от foreo я беру...,прямое_совпадение,
Foreo,993.24,LED Мак foreo до 10...,прямое_совпадение,
Индилайт,529.399,запечённого филе индейки от Инди Light....,подлежащие_нормализации,инди light
Индилайт,549.0,вкус. С вечиной от Индий я готовлю и...,подлежащие_нормализации,индий 
Avito,80.56,"удалось продать на Авито не за 180, не...",подлежащие_нормализации,авито
Кавёр,282.16,"что он застрянет на ковре или, например,...",подлежащие_нормализации,ковре
Avito,1166.96,"Савита? Да, да, я Савито с компании. Да....",подлежащие_нормализации,авито
Островок!,116.52,"событий. Это супер маленький островок,...",подлежащие_нормализации,островок
Сбер,222.159,сильно упростилось. Спер запустил...,подлежащие_нормализации, спер 
Сбер,264.96,"дело, делай это на Easy со Сбером....",подлежащие_нормализации,сбером
Телеграм,1035.28,"Телеграме, чтобы это не превратилось в...",подлежащие_нормализации,телеграм
Островок!,2014.88,"что-то похожее, какой-нибудь островок,...",подлежащие_нормализации,островок
Пятёрочка,5.839,всегда рядом. Открой пятёрочку по...,подлежащие_нормализации,пятёрочку
Avito,306.28,"Он уже сидел, я видел там Авито,...",подлежащие_нормализации,авито
Яндекс,582.16,"Яндекса, добавил туда каждого участника....",подлежащие_нормализации,яндекса
Avito,713.24,B H610 ME Pro DDR4 на Авито писал. Паша...,подлежащие_нормализации,авито
Avito,837.24,погрузился в Авито в поисках лотов на...,подлежащие_нормализации,авито
Avito,909.6,Авито содержит всё необходимое. А на...,подлежащие_нормализации,авито
Ozon,911.44,Озон он сделал заказ на блок питаниягма...,подлежащие_нормализации, озон 
Avito,1278.96,Авито просто пулял реально бюджетки....,подлежащие_нормализации,авито
Avito,1475.6,"руб. Ну, на Авито. То есть при...",подлежащие_нормализации,авито
Avito,1914.12,Авито уже потребовала с Паше 600 руб....,подлежащие_нормализации,авито
Avito,2552.119,Авито за 36.700 руб. Потом в день...,подлежащие_нормализации,авито
Модульбанк,3.8,Модуль Банк - первый банк для...,подлежащие_нормализации,модуль банк
Avito,31.439,"сборки на Авито и другие площадки, но а...",подлежащие_нормализации,авито
Selectel,188.68,расскажу. Select один из ведущих...,подлежащие_нормализации,select
Selectel,200.68,Select. У Select есть сервера с...,подлежащие_нормализации,select
Selectel,211.599,H100. На серверах с ГПУ от Selecttel...,подлежащие_нормализации,select
Selectel,235.239,проекта на сервер Selecttel вы получите...,подлежащие_нормализации,select
Selectel,251.159,my.select.ru ru и заказывайте сервер с...,подлежащие_нормализации,select
Магнит,351.479,держится на магнитах. Шикарный корпус....,подлежащие_нормализации, магнит
Магнит,353.52,Аккуратненько убираю магнит. Защитные...,подлежащие_нормализации, магнит
Avito,521.24,"Авитомагазинах, ну и в ДНС. Миксую, ищу...",подлежащие_нормализации,авито
Avito,532.08,Авито висела за 13.000. Смогли...,подлежащие_нормализации,авито
Avito,597.92,Авито. Вот объявление. Торга здесь нет....,подлежащие_нормализации,авито
Avito,610.32,"завито, но новая. Ну что, наша сборочка...",подлежащие_нормализации,авито
Модульбанк,900.04,"знаете. Модуль Банк, первый банк для...",подлежащие_нормализации,модуль банк
Avito,241.68,на Авито за 60.000 руб. был куплен вот...,подлежащие_нормализации,авито
Авто.ру,147.56,другой разговор. На Ато.ru сделали...,подлежащие_нормализации,ато.ru
Авто.ру,152.56,отчёт авто.ru бесплатно. Просто за...,подлежащие_нормализации,авто.ru
Авто.ру,156.4,объявление на Ато.руru с отметкой...,подлежащие_нормализации,ато.ру
Авто.ру,161.519,звонка вы получите отчёт автору в...,подлежащие_нормализации, автору
Avito,362.88,учиться на своих ошибках. Я открыл Авито...,подлежащие_нормализации,авито
Avito,1021.079,который уже всё навито куча таких...,подлежащие_нормализации,авито
Fit Sevice,14.639,автосервисе Фитсервис. Автосервис...,подлежащие_нормализации,фитсервис
Fit Sevice,18.16,Фитсервис. Безупречный сервис для...,подлежащие_нормализации,фитсервис
Avito,61.64,Poison в мире буу-техники или Авито в...,подлежащие_нормализации,авито
Островок!,169.159,"напоминаю, сдаю я небольшой островок...",подлежащие_нормализации,островок
Т-Банк,243.2,Т-банка прямо сейчас действует акция....,подлежащие_нормализации,т-банк
Телеграм,472.199,"существует внутри телеграма, а значит,...",подлежащие_нормализации,телеграм
Avito,531.839,"устройства. Ну, короче, как на Авито. Я...",подлежащие_нормализации,авито
Avito,533.839,"изобрёл опять же Авито, но это ID...",подлежащие_нормализации,авито
Телеграм,547.839,"Телеграме, они у нас вот такой иконочкой...",подлежащие_нормализации,телеграм
Avito,1096.24,"Авито, а перекуп, который его продавал,...",подлежащие_нормализации,авито
Avito,1221.72,"Авитоконаправленный, специализированный...",подлежащие_нормализации,авито
Avito,162.48,сейчас. Начну с Авито. Процессор для...,подлежащие_нормализации,авито
Кавёр,216.0,увеличивая её на коврах до 11.000 Па....,подлежащие_нормализации,ковра
Кавёр,221.0,"ковре. А ковёр у нас, как видите,...",подлежащие_нормализации, ковёр 
Avito,384.8,Авито за 5.700 руб. Человек ими...,подлежащие_нормализации,авито
Avito,814.079," Ну блок питания на Авито идёт, в...",подлежащие_нормализации,авито
Avito,36.16,"выставил объявление на Авито, но есть...",подлежащие_нормализации,авито
Avito,215.12,"связи. Авито, есть. Всё, тогда домой...",подлежащие_нормализации,авито
Avito,434.12,"витрину, смогли продать на Авито за...",подлежащие_нормализации,авито
Ozon,754.8,Озон примерно по 350 руб. На Авито у...,подлежащие_нормализации, озон 
Avito,754.8,Озон примерно по 350 руб. На Авито у...,подлежащие_нормализации,авито
Синхронизация,1098.64,"Синхронизация есть, соответственно, вот...",прямое_совпадение,
Т-Банк,226.28,регистрируйтесь на ctf от Т банка до 18...,подлежащие_нормализации, т банка 
Авто.ру,377.8,проданы автору по...,подлежащие_нормализации, автору
Яндекс,1133.36,комфортом я пользуюсь Яндекс музыкой...,прямое_совпадение,
Яндекс,1162.159,открываю приложение Яндекс музыки на...,прямое_совпадение,
LitEnergy,1217.08,это делал Lead energer видео состоит...,подлежащие_нормализации,energ
Avito,1983.72,крышкой Так что пришлось найти на Авито...,подлежащие_нормализации,авито
Fresh,2237.8,пригнал на диагностику в салон Фреш...,подлежащие_нормализации,фреш
Fresh,2244.599,"всей сети маркетплейса Фреш. Давайте,...",подлежащие_нормализации,фреш
Магнит,2538.0,"вон там, где магнит поворачива. Ага,...",прямое_совпадение,
Магнит,3064.0,Магнита. Переезд по-прежнему стоит....,подлежащие_нормализации, магнит
Телеграм,600.6,"увидел у тебя в телеге, вот когда ты вот...",подлежащие_нормализации,телеге
Fresh,651.24,"Фреш, она огромная. И, допустим, вы...",подлежащие_нормализации,фреш
Т-Банк,1246.84,Т-150 покормил перед этим поросят....,подлежащие_нормализации, т-
Т-Банк,963.24,это видел. Это наш с тобой Т-банк. Я...,подлежащие_нормализации,т-банк
Т-Банк,978.16,подключить сервис премиум в Т-банке и...,подлежащие_нормализации,т-банк
Т-Банк,987.24,"сервис премиум от Т-банка, фиксируешь...",подлежащие_нормализации,т-банк
Т-Банк,1050.88,"от Тбанка - это хорошая идея,...",подлежащие_нормализации,тбанк
Fresh,1959.159,"услугами нашего автосалона, там Фреш...",подлежащие_нормализации,фреш
Fresh,1964.0,"Фреш, так...",подлежащие_нормализации,фреш
Rainbow,392.36,Rainbow мы вместе с вами создадим семью...,прямое_совпадение,
Rainbow,460.12,Rainbow Я вас...,прямое_совпадение,
Fresh,1364.72,впервые во фреше в другом городе я...,подлежащие_нормализации,фреш
Fresh,1476.52,продаваться у фреша есть аукцион Где...,подлежащие_нормализации,фреш
Contented,1759.08,интересно Давайте на кон поставим...,подлежащие_нормализации, кон 
Fresh,575.12,он Фреш Дубровский Но это один из...,подлежащие_нормализации,фреш
Fresh,593.44,зайти на Фреш выбрать себе любую машину...,подлежащие_нормализации,фреш
Fresh,693.399,Фреш Дубровский состоится мероприятие...,подлежащие_нормализации,фреш
Contented,2629.8,я самый кра для Котен...,подлежащие_нормализации,котен
Телеграм,3313.599,вопро е у Лёхи истории в телеге и у...,подлежащие_нормализации,телеге
Kari,3647.799,касаемо BMW и Кари и вот этих вот...,подлежащие_нормализации, кари 
Jaguar,3879.48,принципе как будто Jaguar FTP подходит...,прямое_совпадение,
Jaguar,3987.88,Антона Ягуар Он предложил обмен на Макан...,подлежащие_нормализации,ягуар
Jaguar,4090.68,очень Угу Так а Ягуар ей не нравится Вы...,подлежащие_нормализации,ягуар
Jaguar,4396.719,у нас Ягуар за за 2300 когда Антон...,подлежащие_нормализации,ягуар
Jaguar,4711.04,вот Ягуар...,подлежащие_нормализации,ягуар
Jaguar,4724.36,2650 Ягуар продан что ше не слышал...,подлежащие_нормализации,ягуар
Яндекс,887.079,приложения не зря Яндекс путешествиями...,прямое_совпадение,
RingString,2899.92,решение я тут снова взял стрин и залип...,подлежащие_нормализации, стрин 
RingString,2934.44,стрин можете подарить и маме и де своей...,подлежащие_нормализации, стрин 
Jaguar,3640.96,Ягуар кайф Ягуар...,подлежащие_нормализации,ягуар
Jaguar,3756.319,как Jaguar которые выглядит намного...,прямое_совпадение,
Jaguar,5592.32,ягуар так надо сейчас Марса продать...,подлежащие_нормализации,ягуар
Яндекс,1223.799,Кстати моргнула Яндекс доставка Возможно...,прямое_совпадение,
Яндекс,1621.76,Я нашла в этом прямо в Яндекс картах там...,прямое_совпадение,
Fresh,1849.0,автомобильного маркетплейса Фреш А если...,подлежащие_нормализации,фреш
Fresh,1875.6,Через аукцион Фреш всё по ссылке в...,подлежащие_нормализации,фреш
Jaguar,4735.8,к там стоит десятый уровень Ягуар...,подлежащие_нормализации,ягуар
Jaguar,4740.6,Ягуар...,подлежащие_нормализации,ягуар
Fresh,234.4,фреше говорит самая нормальная...,подлежащие_нормализации,фреш
Jaguar,733.56,Ягуар мне так кажется икр знаешь почему...,подлежащие_нормализации,ягуар
Avito,1039.48,случаев придуман Селект на Авито авто...,подлежащие_нормализации,авито
Contented,2524.16,а не не помнишь наверное кон [ __ ] хоть...,подлежащие_нормализации, кон 
RingString,2893.64,для вас решение рин стринг Подарите это...,подлежащие_нормализации,рин стринг
RingString,2909.48,удивить дам то стрин - это то что нужно...,подлежащие_нормализации, стрин 
Эльдорадо,702.399,про народи Эльдорадо А да Эльдорадо...,прямое_совпадение,
Ozon,894.519,Озон вы обсудили...,подлежащие_нормализации, озон 
RingString,1234.76,же это рин стрин да Вот видите он всегда...,подлежащие_нормализации, стрин 
Fresh,2489.56,нашего автосалона Фреш Дубровский вот...,подлежащие_нормализации,фреш
Avito,350.039,Авитопутешествие....,подлежащие_нормализации,авито
Avito,352.4,Навитопутешествиях самый большой выбор...,подлежащие_нормализации,авито
Avito,389.28,"Авитопутешествиях. Ёп, Ян. Сейчас я...",подлежащие_нормализации,авито
Островок!,650.32,аналогической петле. Это такой островок...,подлежащие_нормализации,островок
Кавёр,652.68,"кратковременной памяти, где сохраняется...",подлежащие_нормализации,ковре
Яндекс,1195.76,"Яндекса, который пройдёт на сцене Live...",подлежащие_нормализации,яндекса
Битрикс24,401.88,здесь? Битрикс....,подлежащие_нормализации,битрикс
Битрикс24,410.96,24. Битрикс 24. А ты вовремя. Садись...,подлежащие_нормализации,битрикс
Битрикс24,492.319,Bitrix24 помогает бизнесу работать. Всё...,подлежащие_нормализации,bitrix
Битрикс24,495.159,"потому, что у Bitrix 24 огромный...",подлежащие_нормализации,bitrix
Genotek,1566.88,По ДНК генотек нашёл больше 2.000 моих...,подлежащие_нормализации,генотек
Genotek,1573.679,Из 200 потенциальных генотек нашёл у...,подлежащие_нормализации,генотек
Contented,723.8,contented мы решили созвониться с ними и...,прямое_совпадение,
ВКонтакте,759.519,страничку ВКонтакте это не всё эти...,прямое_совпадение,
Contented,761.959,работы Тоже сделали студенты Котен через...,подлежащие_нормализации,котен
Яндекс,1386.52,Яндекс путешествиях сервисом пользуется...,прямое_совпадение,
Золотое Яблоко,1002.24,подарки от золотого яблока а в...,подлежащие_нормализации,золотого яблока
Золотое Яблоко,1072.44,подарок в Золотом яблоке потому что...,подлежащие_нормализации,золотом яблоке
Яндекс,2423.92,Яндекса несмотря ни на что мир...,подлежащие_нормализации,яндекса
Avito,324.039,считает сервис Авито путешествие Да если...,подлежащие_нормализации,авито
Avito,327.36,вы ещё не знали это всё тот же Авито...,подлежащие_нормализации,авито
Avito,348.919,пройдёт как забронировано ведь Авито...,подлежащие_нормализации,авито
Bombbar,101.52,жертвой обеих бомбардировок сразу как бы...,подлежащие_нормализации,бомбар
Bombbar,754.44,смешала все карты в день бомбардировки 9...,подлежащие_нормализации,бомбар
Bombbar,773.279,вс-таки прилетела бомбардировщиком...,подлежащие_нормализации,бомбар
Bombbar,1253.12,почувствовал цутому в бомбардировке...,подлежащие_нормализации,бомбар
Bombbar,1258.76,привело к бомбардировке решение одной...,подлежащие_нормализации,бомбар
Телеграм,1847.72,переживайте в телеге всё будет...,подлежащие_нормализации,телеге
Магнит,1976.639,магнитов и металлического шарика на...,подлежащие_нормализации, магнит
Магнит,1981.399,между магнитами пока не притянется к...,подлежащие_нормализации, магнит
Магнит,2008.08,жёлтому магниту из этой точки к красному...,подлежащие_нормализации, магнит
Магнит,2036.159,магнитов шарик тся к ближайшему из них...,подлежащие_нормализации, магнит
Магнит,2068.919,только не магнитные силы а Гравитация и...,подлежащие_нормализации, магнит
Магнит,2075.76,магниты а носится каждая по своим...,подлежащие_нормализации, магнит
Contented,469.36,23 в 27 Это школа дизайна кон в Котен у...,подлежащие_нормализации,котен
Contented,501.12,это дизайн студентов contented вы...,прямое_совпадение,
Билайн,1002.36,сеть Билайна поддерживает связь даже в...,подлежащие_нормализации,билайн
Билайн,1013.48,белайн поможет дозвониться или отправить...,подлежащие_нормализации,белайн
Билайн,1026.24,чтобы посмотреть наш с Билайном...,подлежащие_нормализации,билайн
LitEnergy,1389.6,клинеры такие так нужно убраться трупы...,подлежащие_нормализации,линер
Модульбанк,2036.72,модульбанк кофейного бизнеса Если у вас...,прямое_совпадение,
Яндекс,470.84,вам что на Яндекс путешествиях можно...,прямое_совпадение,
Яндекс,520.399,на любой вкус на Яндекс путешествиях а...,прямое_совпадение,
Flowwow,1547.799,Крайнего Севера и сахары так и флаувау...,подлежащие_нормализации,флаувау
Flowwow,1563.48,цветы Закажите на Flow WoW подарки так...,подлежащие_нормализации,flow wow
Flowwow,1577.399,Закажи их на флаувау это проще чем...,подлежащие_нормализации,флаувау
Золотое Яблоко,432.479,защиту в Золотом яблоке кроме санскрин Я...,подлежащие_нормализации,золотом яблоке
Bombbar,1388.919,бомбар вот вам небольшой урок математики...,подлежащие_нормализации,бомбар
Bombbar,1428.2,покупке на сайте бомбар к ней же...,подлежащие_нормализации,бомбар
